player,position,seasons,career_snaps,career_pressures,career_war
Carter Warren,T,1,258,20,0.00029362271902454114
James Hudson III,T,3,679,57,0.0002935706141074986
Luke Bowanko,C,1,611,23,0.00029310097848919177
Will Rackley,G,1,422,30,0.0002917919768498131
Lance Louis,G,2,493,28,0.0002901116007163134
Austin Corbett,C,1,187,3,0.0002898888310395504
Jeremy Vujnovich,G,1,615,39,0.0002894873960035816
KT Leveston,T,1,413,33,0.0002860512542550482
Fernando Velasco,C,1,490,19,0.0002820981566046019
Chris Hubbard,G,1,164,7,0.0002768843421969219
Nick Harris,C,1,169,3,0.00027305567734184973
Paul Cornick,T,1,157,7,0.00027173097523143356
Ben Brown,C,1,440,16,0.00027161477323655735
Blake Brandel,G,1,677,41,0.0002681708708379652
Austin Schlottmann,C,3,563,25,0.0002611580454623705
Dennis Daley,G,1,348,20,0.0002554910379962858
Ben Garland,C,1,201,4,0.00025448554359715165
Isaiah Wynn,T,4,1378,75,0.0002516318949407051
Patrick Mekari,C,1,275,8,0.00025106582853307025
Jah Reid,T,1,347,29,0.0002480740043027982
Conor McDermott,T,2,453,33,0.00024562459668751716
Kraig Urbik,C,1,221,7,0.00024518571618091663
Ryan Groy,G,2,338,18,0.0002442915795093236
Mekhi Becton,G,2,894,61,0.00024282039263543812
Michael Roos,T,2,830,54,0.00024269627885559094
James Ferentz,C,1,165,4,0.00024018735537442097
Bryant McKinnie,T,1,657,59,0.00023845762871093983
Ben Garland,G,2,450,27,0.00023261882550609482
Jalen Travis,T,1,175,12,0.00023092393643577065
Ali Marpet,C,1,483,18,0.00022979259866562764
Corey Robinson,T,1,218,17,0.00022696728164180838
Anthony Steen,G,1,193,9,0.0002224372978461934
Jamon Meredith,T,1,264,21,0.00022182077414444005
Beaux Limmer,C,1,510,21,0.00021979523038142382
Spencer Long,C,3,1209,45,0.00021970552012111908
Marcus Martin,C,2,830,44,0.0002177332230505182
Brandon Knight,T,1,517,37,0.00021768904167734094
Jack Driscoll,G,1,293,18,0.00021409524647861793
Matt Goncalves,T,1,305,22,0.00021271173003700944
Jake Hanson,G,1,165,9,0.00021209976970962274
Brian Schwenke,C,3,932,45,0.00021023598879392222
Olusegun Oluwatimi,C,1,260,8,0.00020980691984162018
Hroniss Grasu,C,2,494,25,0.00020857804739075328
Caleb Benenoch,T,1,221,17,0.00020818698264725175
Joe Reitz,G,1,168,6,0.0002063462969154143
Matt Slauson,C,1,626,28,0.00020620137294275539
Arie Kouandjio,G,1,275,16,0.0002047582566675086
Juice Scruggs,C,1,543,22,0.00020403144189673895
Michael Deiter,G,1,708,44,0.00020234812694228829
Deion Calhoun,G,1,332,18,0.0002005860040870337
Danny Pinter,G,1,183,9,0.00019906291314115
Spencer Drango,T,1,402,35,0.00019411995704473443
Greg Mancz,G,2,563,37,0.00019333192865598881
Austin Jackson,G,1,708,49,0.0001814745030974715
Alvin Bailey,T,1,201,14,0.00017162511480995612
Jarrett Patterson,G,1,206,11,0.00016793249076448794
Cody Mauch,G,2,1382,66,0.00016269953563383425
Lucas Niang,T,1,360,26,0.00016064419442386786
John Urschel,G,1,177,9,0.000157330296792581
Shelley Smith,G,2,418,28,0.00015694549401285213
Amini Silatolu,G,1,262,14,0.00015686663559783809
Hakeem Adeniji,G,1,350,23,0.00015601204279637717
Vadal Alexander,T,2,340,30,0.00015524030669363748
Will Holden,T,1,197,16,0.00015353232339283766
Luke Wypler,C,1,165,5,0.0001511260100994042
Marcus McKethan,G,1,245,17,0.0001499867050711487
Spencer Anderson,G,1,182,10,0.0001484432857589866
Bobby Evans,T,1,296,23,0.00014226045136864722
Alijah Vera-Tucker,T,1,164,14,0.00013472614822987038
Cole Toner,G,1,176,10,0.00012938671931802474
Korey Cunningham,T,1,209,18,0.00012920449837844762
Chris Spencer,C,1,215,8,0.00012735472784218085
Tim Lelito,C,1,169,5,0.00012615262485902434
Jordan Meredith,C,1,439,20,0.0001252238276602011
Larry Borom,T,5,1545,108,0.00012499515672319836
Esa Pole,T,1,186,15,0.00012207807398548415
Alvin Bailey,G,1,267,17,0.00012118406842637414
Rasheed Walker,T,3,1649,102,0.00011907719100064963
Eric Kush,C,1,164,6,0.0001182724313287644
Jim Cordle,C,1,287,13,0.00011377355406571526
Brett Toth,G,1,211,13,0.00011282632603576529
Sam Brenner,G,1,183,13,0.00010945109072715328
Mike Pouncey,G,1,503,31,0.00010914958082675886
Jamarco Jones,G,1,179,10,0.00010579417416158906
John Greco,C,1,343,17,0.00010444506271561698
Gino Gradkowski,C,1,723,36,0.00010345862802753193
Chaz Green,T,1,161,14,0.0001028578077665218
Brock Hoffman,C,1,285,12,0.0001026067975850648
Caleb Rogers,G,1,179,11,0.0001004300163404168
Blake Brandel,T,1,181,13,9.91860934903791e-05
Kyle Murphy,T,1,174,15,9.790566969055402e-05
Nick Easton,C,1,269,12,9.616680609816599e-05
Josh Fryar,T,1,192,16,9.326588801920528e-05
Landon Young,G,1,252,16,9.279207053166485e-05
Andy Gallik,C,1,326,19,9.193348301982867e-05
Ben Brown,G,1,165,10,8.92844320307858e-05
Jon Runyan,G,5,3011,118,8.783763778447747e-05
Brady Christensen,T,1,321,25,8.630073779441821e-05
Jordan Devey,T,1,176,13,8.085024512749095e-05
Jamon Meredith,G,1,240,19,7.934799178648132e-05
Josh Andrews,C,1,173,8,7.683681038550755e-05
Matt Hennessy,C,1,632,32,7.638601587229761e-05
Fernando Velasco,G,1,235,14,7.582887673689502e-05
Bradley Sowell,G,1,212,14,7.413482974621555e-05
Jon Gaines II,G,1,234,15,7.21400796547266e-05
Spencer Pulley,C,2,985,50,6.62787873124312e-05
David Molk,C,1,259,11,6.551149432988936e-05
Cade Mays,G,1,267,21,6.352216605388773e-05
Blake Brandel,C,1,395,19,6.180423386290093e-05
Olisaemeka Udoh,T,1,211,19,6.119474282931454e-05
Jeremiah Sirles,G,1,195,13,5.9006493643704436e-05
Adam Snyder,G,1,175,14,5.765647828010746e-05
Joe Looney,G,1,181,11,4.9089052453822255e-05
Ryan Wendell,C,1,714,37,4.643204595748633e-05
Colton McKivitz,G,1,172,12,4.548442317535891e-05
Isaiah Prince,T,1,224,18,4.2174700565102606e-05
Matt Gono,T,1,206,16,4.206298649141439e-05
Blake Fisher,T,1,219,18,3.6518283647597995e-05
James Stone,C,1,449,21,3.3199934371584436e-05
Alex Forsyth,C,1,173,8,2.6572230453182683e-05
Nick Saldiveri,G,1,203,14,1.9050708730377763e-05
Connor Colby,G,1,281,20,1.864541762089903e-05
Colby Gossett,G,1,190,14,1.536941846121594e-05
Rich Ohrnberger,C,1,272,13,9.59693016845521e-06
Dan Feeney,C,1,729,33,6.863544443717433e-06
Michael Harris,T,1,214,18,5.9350597040360765e-06
Michael Jurgens,C,1,177,9,5.55452271171157e-06
John Urschel,C,1,368,24,-2.4378461248730367e-06
Joe Noteboom,G,1,256,18,-8.700186817221531e-06
Xavier Newman,G,1,188,16,-1.0049009275245837e-05
Demontrey Jacobs,T,1,566,49,-1.1950769154759714e-05
Kayode Awosika,G,2,327,26,-1.6355734146834676e-05
Tyre Phillips,G,1,208,16,-2.0893365568171635e-05
Austin Pasztor,G,1,188,16,-2.308663502771389e-05
Levi Brown,T,1,175,18,-2.4972565560556883e-05
Robert Turner,C,1,232,13,-2.7681486687017413e-05
Netane Muti,G,1,176,14,-3.369679151285293e-05
Justin Murray,T,1,537,25,-3.554431220752784e-05
Le'Raven Clark,G,1,209,16,-3.666563428509412e-05
Trevor Penning,G,1,345,26,-3.6864550385435406e-05
Billy Price,G,1,403,29,-4.1778241333402364e-05
Shane Lemieux,C,1,221,12,-5.141104397350095e-05
Trent Scott,G,1,195,16,-5.2494515436345504e-05
Keith Ismael,C,1,217,13,-6.087326756744081e-05
Nathan Thomas,T,1,219,23,-7.186445861175627e-05
Will Richardson Jr.,G,1,303,23,-7.569340531550351e-05
Foster Sarell,T,1,186,18,-7.722819417218981e-05
David Quessenberry,T,4,1321,93,-8.378981652954121e-05
Wes Martin,G,2,407,31,-8.784655224417475e-05
Wes Schweitzer,C,1,238,15,-8.80179295548178e-05
Asim Richards,T,1,218,23,-8.807299003685059e-05
Jaylon Moore,T,1,257,27,-8.81701702237174e-05
Mike Caliendo,G,1,259,21,-8.829792624951488e-05
Kyle Fuller,C,1,281,17,-9.859087708570782e-05
Shane Lemieux,G,1,299,25,-0.00011513722682073887
Jeremiah Poutasi,T,1,234,26,-0.00011679044449706914
Mason Cole,C,5,2678,130,-0.00011723047035005625
Nick McDonald,C,1,260,15,-0.00012059193156414181
Jake Curhan,G,1,171,15,-0.00012128295768813387
Austin Schlottmann,G,1,176,16,-0.00012952671150462803
Oniel Cousins,G,1,228,23,-0.00012963097577684915
Bryce Harris,T,1,266,26,-0.00013233128536114
Brady Christensen,C,1,223,14,-0.00013344520262846085
Billy Turner,G,3,1691,97,-0.00013897135164533622
Eugene Monroe,T,3,1309,72,-0.00014140947086983054
Cyril Richardson,G,1,201,17,-0.00015757519245082927
Ethan Pocic,G,2,613,48,-0.00016255109384302234
Dan Skipper,G,1,203,19,-0.00017090853125362285
Nash Jensen,G,1,171,18,-0.00017239935693594895
Xavier Su'a-Filo,G,6,2265,137,-0.00018010262147271895
Jordan Devey,G,1,230,23,-0.00018849930869588923
Cameron Erving,C,1,489,30,-0.00018997416875200635
Gosder Cherilus,T,3,1866,134,-0.00020628542157313183
Sean Rhyan,C,1,462,28,-0.00020709770083917448
Ted Larsen,G,6,2439,149,-0.00021529546479615632
Daniel Brunskill,G,3,1337,73,-0.00021867633916108204
Dylan Parham,G,4,2411,145,-0.0002269153657226418
Jack Driscoll,T,2,377,37,-0.00022876083985124275
Rashod Hill,T,3,880,67,-0.00023403050376822904
Alex Cappa,C,1,349,23,-0.00024705887885484033
Marcus Mbow,T,1,209,26,-0.0002509114585800605
James Hurst,T,7,2389,144,-0.00028557520024800843
Joe Haeg,G,1,615,53,-0.00029405521985765356
Colin Brown,G,1,224,26,-0.00029697167625708406
Andrus Peat,G,5,2060,101,-0.0003006636192272737
Trevor Robinson,C,1,662,51,-0.00030131019243204057
Sataoa Laumea,G,1,219,23,-0.0003222792521286661
Atonio Mafi,G,1,296,32,-0.00034404289250855385
Peter Konz,C,1,618,42,-0.0003446812821841351
Jake Curhan,T,2,417,47,-0.0003660950454864607
Julie'n Davenport,T,3,1185,119,-0.0004046087710297912
Tyler Larsen,C,3,1012,64,-0.00042023667264277047
D'Brickashaw Ferguson,T,3,1885,139,-0.0004301631671612765
Alex Leatherwood,G,1,708,65,-0.00043537474753675134
Josh Walker,T,1,223,33,-0.0004538050552655077
Bobby Evans,G,1,203,24,-0.0004557614743125758
Oniel Cousins,T,1,220,29,-0.00047661984008372287
Josh Andrews,G,1,188,25,-0.0005038928799978314
Chandler Zavala,G,1,249,33,-0.0005587742565954882
Isaiah Adams,G,2,833,41,-0.0005762763779949184
La'el Collins,T,5,2936,174,-0.0005952790522296609
Trey Pipkins III,G,1,521,29,-0.0005954817432444727
Orlando Franklin,G,3,1600,89,-0.0006052082287455379
Jaelyn Duncan,T,1,207,36,-0.0006304045719723337
Paul Fanaika,G,2,1221,83,-0.0006748078686851563
Brandon Coleman,T,2,695,41,-0.0006793758000060487
Matt Skura,G,3,1167,68,-0.0007237077744333871
Chris Chester,G,4,2723,151,-0.0007844819667175962
Spencer Burford,G,3,1116,70,-0.0007857744201562517
Tyler Smith,T,1,623,39,-0.0008422315814214027
Josh Conerly Jr.,T,1,624,43,-0.0008514339003064017
Olumuyiwa Fashanu,T,2,1006,62,-0.0009335636458272758
Sam Young,T,4,969,65,-0.0009468000924281203
Aireontae Ersery,T,1,664,43,-0.0009711222735193195
Spencer Long,G,1,505,30,-0.000986775479457876
Seantrel Henderson,T,2,991,65,-0.0010129335288681486
Bryan Witzmann,G,2,850,49,-0.0010138456305906875
King Dunlap,T,4,1697,120,-0.0010548668183293496
J'Marcus Webb,G,1,688,40,-0.001099108587534411
Royce Newman,G,2,931,50,-0.0011116872094827195
Spencer Brown,T,5,2726,165,-0.0011226894182392476
Matt Pryor,T,2,629,39,-0.0011496993240651368
Spencer Drango,G,1,407,28,-0.0011977421299293569
Austin Jackson,T,4,1622,82,-0.0012002070827843376
Andrew Gardner,T,1,387,25,-0.001309233228048237
Tytus Howard,T,5,2768,156,-0.001316309348176033
Christian Mahogany,G,1,407,27,-0.001336805174293722
DJ Glaze,T,2,1304,99,-0.0013626065085028888
Terence Steele,T,6,3786,246,-0.0013853481383067346
Halapoulivaati Vaitai,T,3,947,73,-0.0014237212884429479
Matt Goncalves,G,1,603,34,-0.0014558107846599994
Chad Wheeler,T,1,534,43,-0.001489897209266737
Walker Little,T,3,1340,86,-0.0015726067694084845
Joe Haeg,T,3,1023,73,-0.0015977637790491966
Caleb Benenoch,G,1,572,42,-0.0016908774726435807
Ty Sambrailo,T,2,388,17,-0.001697718795396817
Eric Kush,G,2,500,23,-0.0017208912119374624
Joshua Garnett,G,1,451,38,-0.0017520210335486893
Rob Havenstein,T,11,5600,331,-0.0017620484264987905
Kenny Wiggins,G,4,1938,122,-0.0017805116040520974
Khaled Holmes,C,1,328,22,-0.0017815787735604581
Jonah Jackson,G,6,3086,160,-0.0017849321642650013
Dakota Dozier,G,2,815,64,-0.0018103211116715008
Trevor Penning,T,2,908,73,-0.0018340539165297258
Max Mitchell,T,2,568,44,-0.00184080806104902
Calvin Anderson,T,1,289,22,-0.0018860651826102207
Billy Turner,T,3,1309,76,-0.0019156996901675376
Charles Brown,T,1,622,49,-0.001947821572645507
Jared Wilson,G,1,486,28,-0.001958343450371985
Drew Dalman,C,4,2018,90,-0.001975485140883448
Garry Gilliam,T,2,1130,101,-0.001988553601356491
Cody Ford,G,3,813,61,-0.00201200930231604
Dan Connolly,G,2,1172,78,-0.002014400295624464
Thayer Munford Jr.,T,2,519,39,-0.0020217296846698905
Menelik Watson,T,2,598,51,-0.002048425194580438
Byron Bell,T,2,1167,98,-0.0020586030091210355
Michael Oher,T,3,1686,123,-0.0020626765153770165
Saahdiq Charles,G,3,787,68,-0.0021109221318686656
John Jerry,T,1,314,27,-0.002113448216630038
Bobby Massie,T,8,4175,266,-0.0021413536003746392
Theo Benedet,T,1,329,26,-0.00215718206179642
Luke Goedeke,G,1,349,22,-0.002162692794114734
Shon Coleman,T,1,708,64,-0.002175076223695085
Byron Bell,G,2,1030,75,-0.002291720784211559
Justin Dedich,G,1,302,20,-0.0023103771542386294
John Miller,G,6,2971,171,-0.002316232808304658
Rashaad Coward,G,2,653,44,-0.0023295368441769615
Justin Britt,T,1,573,49,-0.002348008467918852
Broderick Jones,T,3,1378,95,-0.002373219360679078
Olisaemeka Udoh,G,1,662,45,-0.0023799065621962746
Chris Clark,T,7,2851,213,-0.0024023106875183027
Ed Ingram,G,4,2293,148,-0.0024231190720720667
Brandon Fusco,G,5,2619,157,-0.0024311903086938766
Justin McCray,T,2,583,47,-0.002438133489265088
Trent Scott,T,2,760,63,-0.0024938138065203116
Jonah Savaiinaea,G,1,579,45,-0.0024946855110424293
Jalen Rivers,G,1,328,27,-0.0024961684526414226
Josh Jones,T,1,417,27,-0.0025114723000829895
Tom Compton,T,2,703,54,-0.00251207293371017
Braxton Jones,T,3,1434,98,-0.0025215657135993375
Derek Newton,T,4,2015,154,-0.0025313928618702097
Bryan Bulaga,T,7,3354,168,-0.0025322046137730516
Liam Eichenberg,T,1,704,62,-0.0025496786286584028
Sua Opeta,G,1,311,25,-0.002566397354538333
Andrew Wylie,T,4,2296,146,-0.002570483333393423
Tony Bergstrom,G,1,336,23,-0.002581535934173754
Earl Watford,G,3,1083,77,-0.0025836971821450927
Layden Robinson,G,1,366,33,-0.002594699854700225
Anthony Belton,G,1,258,23,-0.0026019760052387072
Mike McGlinchey,T,8,4377,245,-0.002618074326016188
Jalen Mayfield,G,1,622,57,-0.0026232626415515245
Dalton Tucker,G,1,279,24,-0.002630191045206279
Desmond Harrison,T,1,383,32,-0.0026378410651893033
Wanya Morris,T,2,688,59,-0.0026482338380670795
Storm Norton,T,2,926,74,-0.002665321239778725
Cameron Erving,G,3,1013,70,-0.0027111815903887613
Paul McQuistan,G,1,426,37,-0.002770803647850496
Joe Noteboom,T,3,947,72,-0.002826513595193314
Gabe Carimi,T,1,382,31,-0.002843178272195404
Blake Hance,T,1,366,31,-0.0028519713209524604
Calvin Throckmorton,G,3,1159,69,-0.002865777454408356
Johnnie Troutman,G,2,853,62,-0.0028742777140216827
Brandon Parker,T,3,1243,109,-0.002896041116400637
Nate Chandler,G,1,286,27,-0.0029270475732175653
Lamar Holmes,T,1,735,76,-0.0029354879046765334
David Diehl,G,1,413,42,-0.00293989256784262
Bobby Hart,T,6,3160,223,-0.002942014350715067
Cedric Ogbuehi,T,4,1175,105,-0.0029426236896012486
John Wetzel,T,3,1250,118,-0.002960394436057219
Cameron Bradfield,T,1,506,50,-0.0029817346623068936
Jamaree Salyer,T,2,942,65,-0.002995807957208274
Anthony Collins,T,2,739,41,-0.0030519858003557093
Chris Williams,G,1,531,41,-0.0030786610241927046
Joe Looney,C,3,1423,62,-0.003103120764072462
Kelvin Banks Jr.,T,1,680,46,-0.003117515718448497
Michael Schofield III,T,2,772,82,-0.0031444293346969574
Austin Deculus,T,1,342,37,-0.0031879771946286798
Sam Tevi,T,3,1666,134,-0.0031911216760321013
Jedrick Wills Jr.,T,5,2083,127,-0.003202546835090158
Dallas Thomas,G,2,1111,96,-0.003207296263095948
Halapoulivaati Vaitai,G,3,1165,59,-0.003246108251005548
Josh Simmons,T,1,367,18,-0.0032741427066677042
T.J. Clemmings,T,2,1122,108,-0.003347667541291751
J'Marcus Webb,T,1,372,39,-0.0033679343267282685
Nicholas Petit-Frere,T,2,877,76,-0.0033878650121957755
Charlie Heck,T,3,964,79,-0.0034069804944067694
Vederian Lowe,T,3,967,86,-0.003411874797647109
Martinas Rankin,T,2,459,37,-0.003448760332225452
Greg Little,T,1,352,35,-0.0034509132156907408
Kolton Miller,T,7,4327,254,-0.0034532066547971717
Alex Lewis,G,4,1598,98,-0.0034736162788301496
Matt Nelson,T,2,568,49,-0.003480806172228585
Matt Tobin,G,2,918,69,-0.0034882587128473646
Germain Ifedi,T,5,2490,170,-0.0035209377305086787
Doug Free,T,4,2227,141,-0.003587598175835871
Luke Joeckel,T,3,1465,112,-0.003589407455695715
Cody Ford,T,2,887,68,-0.003601725121932871
Donovan Smith,T,9,6086,376,-0.003686220037981524
Cameron Erving,T,3,920,65,-0.0038840020189767786
Blake Freeland,T,1,426,45,-0.003918600390031401
Lucas Nix,G,1,382,40,-0.0039241198085089345
Brian Winters,G,8,3441,207,-0.003933260233714619
Shawn Lauvao,G,5,2194,133,-0.003947859942652309
Bradley Sowell,T,2,890,98,-0.004100194746068996
Rees Odhiambo,T,1,318,35,-0.004120149713584832
Ryan Clady,T,2,977,66,-0.004263697961265979
D.J. Fluker,T,3,1514,121,-0.004272788481610614
Alejandro Villanueva,T,7,4689,288,-0.004308474527515751
Allen Barbre,G,3,1489,89,-0.004353050715142443
Dan Moore Jr.,T,5,3160,229,-0.004396872888382485
Tyler Guyton,T,2,857,57,-0.0043972924009885546
Elijah Wilkinson,G,3,903,62,-0.004402267575528127
Matt Kalil,T,4,2446,192,-0.004430541627127386
Andre Smith,T,6,2228,147,-0.004434153940458119
Justin Skule,T,3,837,64,-0.004436412002109102
Don Barclay,T,2,857,79,-0.004443395065292337
Mike Adams,T,2,538,54,-0.004548709375229791
Jamil Douglas,G,2,612,50,-0.004717149463723093
Jonathan Martin,T,2,690,57,-0.004858856723102378
Cornelius Lucas,T,8,2349,166,-0.004941574505510601
Elijah Wilkinson,T,3,1446,96,-0.005053627781736902
Ikem Ekwonu,T,4,2425,150,-0.005078634672455836
Marshall Newhouse,T,6,2158,168,-0.005112804155411913
Erik Pears,T,2,1296,90,-0.005138607832163318
Jonotthan Harrison,G,1,289,28,-0.0051789395929714
Kenyon Green,G,2,875,75,-0.005421761479832733
Fred Johnson,T,3,879,75,-0.005590453652912353
Donald Stephenson,T,4,1317,129,-0.0057177455830635
Pat Elflein,G,2,720,56,-0.005914805797640832
Breno Giacomini,T,5,2420,214,-0.005948184082594524
LaAdrian Waddle,T,5,1346,116,-0.006167716239767193
George Fant,T,6,2692,175,-0.006187072774211542
Dennis Daley,T,2,964,98,-0.006515184320830605
Andre Dillard,T,3,764,86,-0.008193997822616674
Eric Fisher,T,9,5025,329,-0.008306008393726215
Jordan Mills,T,6,3185,256,-0.008383735694455208
Evan Neal,T,3,1076,85,-0.008793799377989422
Stone Forsythe,T,3,1075,107,-0.010078904774072837
Cam Robinson,T,8,4297,289,-0.01112438200807751
Ereck Flowers,T,4,2281,207,-0.011555173719890371
